expense_ratio,risk_level,cluster,scheme_code
0.292490119,0.6,6,101934
0.134387352,0.4,1,101935
0.249011858,0.6,6,101950
0.359683794,1,8,101951
0.098814229,0.2,4,101952
0.324110672,1,8,102030
0.04743083,1,0,102053
0.015810277,0,9,102054
0.537549407,1,2,102055
0.067193676,0.4,1,102056
0.114624506,0.2,4,102058
0.252964427,1,0,102061
0.671936759,0.6,3,102201
0.320158103,1,8,102202
0.233201581,1,0,125711
0.241106719,0.8,5,100602
0.086956522,0.2,4,100603
0.221343874,0.6,6,100604
0.051383399,0.2,4,100605
0.553359684,1,2,100606
0.086956522,0.2,4,100607
0.450592885,0.4,3,100608
0.632411067,1,7,100609
0.37944664,1,8,100610
0.18972332,0.4,1,100611
0.177865613,1,0,100612
0.450592885,1,2,100613
0.71541502,1,7,100614
0.260869565,1,0,100617
0.043478261,0.2,4,100618
0.106719368,0.2,4,100619
0.458498024,1,2,100620
0.462450593,1,2,100621
0.4743083,1,2,100622
0.450592885,1,2,100623
0.375494071,1,8,100780
0.415019763,0.4,3,100781
0.387351779,1,8,100782
0.359683794,1,8,100783
0.158102767,1,0,100784
0.086956522,0.2,4,100785
0.375494071,1,8,100786
0.671936759,1,7,100787
0.043478261,0.4,1,100788
0.209486166,1,0,100414
0.098814229,1,0,100415
0.335968379,1,8,100416
0.023715415,0.6,5,100417
0.347826087,1,8,100418
0.33201581,0.2,4,100474
0.391304348,1,8,100475
0.335968379,1,8,101000
0.375494071,1,8,101042
0.276679842,1,8,101049
0.537549407,1,2,101186
0.328063241,1,8,101222
0.466403162,1,2,101224
0.059288538,0.2,4,101419
0.363636364,1,8,101471
0.043478261,0.4,1,101489
0.039525692,1,0,101490
0.335968379,1,8,101491
0.245059289,1,0,101547
0.241106719,1,0,101548
0.359683794,0.6,6,101605
0.083003953,1,0,101606
0.122529644,0.2,4,101609
0.09486166,0.2,4,101659
0.687747036,1,7,101672
0.632411067,1,7,100476
0.841897233,1,7,100477
0.442687747,1,2,100480
1,1,7,101094
0.774703557,1,7,101095
0.150197628,1,0,101113
0.150197628,1,0,101114
0.660079051,1,7,101209
0.490118577,1,2,100496
0.335968379,1,8,100497
0.347826087,0.4,3,115270
0.486166008,0.4,3,115290
0.395256917,1,8,115398
0.687747036,1,7,115399
0.003952569,0.2,4,115400
0.616600791,1,7,115401
0.509881423,1,2,115402
0.110671937,0,9,100381
0.071146245,0.4,1,100382
0.5256917,1,2,100646
0.486166008,0.4,3,100648
0.577075099,1,2,100650
0.640316206,1,7,100651
0.296442688,0.6,6,100656
0.549407115,1,2,100657
0.296442688,0.4,1,100663
0.33201581,1,8,100664
0.241106719,0.4,1,100668
